date,bitcoin_var,dow_var,euro_stoxx50_var,nasdaq_var,nikkei_var,oro_var,petroleo_var,shangai_stock_exchange_var,sp_500_var
2020-05-20,-2.67,1.25,-0.2,1.22,0.71,1.72,2.38,-9.04,0.73
2020-05-19,0.44,0.33,0.75,-1.31,-0.55,0.53,-0.29,-2.83,-0.54
2020-05-18,0.55,-2.38,0.86,-0.53,-2.03,0.5,-0.31,0.28,0.33
2020-05-17,3.18,-0.83,-0.14,-1.85,0.13,2.33,0.6,-1.68,1.13
2020-05-16,0.66,3.25,-0.18,0.75,-0.98,0.05,1.23,0.56,1.5
2020-05-15,-4.71,2.8,0.73,1.14,0.7,-1.29,0.49,0.28,0.73
2020-05-14,5.16,1.45,1.22,0.43,-0.91,0.46,2.46,-0.28,-1.77
2020-05-13,5.5,-4.95,1.94,0.54,0.18,0.45,0.75,-0.84,0.31
2020-12-05,2.73,-2.42,0.56,3.78,0.45,0.08,-1.49,-0.55,-0.09
2020-11-05,-1.82,5.32,-1.35,1.24,0.07,-0.6,-1.24,0.84,1.01
2020-10-05,-8.54,-0.04,-1.22,-0.39,-0.45,0.36,0.39,0.28,-1.57
2020-09-05,-2.57,-2.7,0.46,0.53,0.73,0.21,2.3,1.13,-0.9
2020-08-05,-1.74,-3.5,1.13,0.45,0.47,0.44,-1.0,-1.12,0.11
2020-07-05,9.05,-1.22,-2.68,-0.1,2.31,0.46,-2.81,0.56,0.03
2020-06-05,1.67,-3.29,1.13,-0.05,-1.57,-1.65,-1.11,-0.56,-0.27
2020-05-05,1.42,-1.39,-0.87,0.92,1.6,-0.34,-2.23,-0.56,0.39
2020-04-05,-0.12,1.64,-0.51,0.42,-1.91,-0.08,-0.28,1.13,0.84
2020-03-05,-0.9,0.4,-0.26,1.23,-0.76,0.8,0.64,0.28,0.19
2020-02-05,1.64,0.06,-0.24,-0.5,-0.36,0.06,-1.94,1.43,-0.15
2020-01-05,2.23,-0.21,0.9,0.23,0.6,-0.48,-2.52,0.29,0.7
2020-04-30,-1.62,1.65,0.14,-0.48,-0.2,0.35,-2.03,0.58,-0.29
2020-04-29,13.22,-1.32,-0.16,1.44,0.04,0.43,-2.74,0.0,0.67
2020-04-28,-0.25,-1.02,-0.13,-0.55,0.02,0.54,-0.66,0.58,0.49
2020-04-27,1.13,1.03,-0.26,-1.65,-0.2,-0.08,-0.91,-1.15,-0.28
2020-04-26,1.84,-0.04,-0.17,-0.06,-0.29,1.5,1.25,-0.29,0.35
2020-04-25,0.49,-0.4,0.62,0.43,-0.55,0.27,0.03,0.0,-0.71
2020-04-24,0.2,-2.47,0.35,0.67,0.47,-1.9,1.23,-0.29,0.84
2020-04-23,5.28,-1.79,0.18,0.07,-0.29,0.65,-0.72,1.16,0.29
2020-04-22,3.95,0.72,-0.55,-0.9,2.55,-0.22,0.26,0.29,-0.58
2020-04-21,0.13,-0.89,-0.52,0.19,0.14,0.58,-1.63,1.77,0.0
2020-04-20,-4.06,-0.71,1.28,1.03,-0.08,-0.4,-0.87,-0.29,0.51
2020-04-19,-1.49,0.58,-0.09,-0.45,-0.09,-0.6,-0.08,0.29,-0.02
2020-04-18,2.77,-0.05,-0.89,-0.4,0.33,0.35,-4.93,0.3,0.09
2020-04-17,-0.7,0.59,0.21,0.54,0.23,-0.35,-0.9,0.0,0.49
2020-04-16,6.89,0.17,-0.06,1.04,0.71,-0.89,0.35,0.3,0.45
2020-04-15,-3.24,0.5,0.0,-0.08,-1.05,0.33,3.06,0.6,-0.04
2020-04-14,0.14,-0.75,1.0,0.76,-0.64,1.04,-0.24,0.0,0.03
2020-04-13,-1.1,0.9,0.0,0.69,1.01,1.57,0.44,0.3,0.71
2020-12-04,0.73,1.67,-0.17,0.34,-0.49,2.25,-1.01,0.3,0.01
2020-11-04,0.07,-2.15,-0.73,0.23,-0.12,-1.91,-0.06,-1.19,0.86
